system:index,count,label,.geo
-27070+8855,50,313,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.62290631694202,39.777400780812414],[-121.62290631694202,39.75494289870942],[-121.61841474052142,39.75494289870942],[-121.61841474052142,39.75943447513002],[-121.61392316410083,39.75943447513002],[-121.61392316410083,39.75494289870942],[-121.60943158768023,39.75494289870942],[-121.60943158768023,39.750451322288825],[-121.58248212915665,39.750451322288825],[-121.58248212915665,39.777400780812414],[-121.62290631694202,39.777400780812414]]]}"
-27076+8850,2,319,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.61841474052142,39.750451322288825],[-121.60943158768023,39.750451322288825],[-121.60943158768023,39.75494289870942],[-121.61841474052142,39.75494289870942],[-121.61841474052142,39.750451322288825]]]}"
-27077+8851,1,311,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.61841474052142,39.75494289870942],[-121.61392316410083,39.75494289870942],[-121.61392316410083,39.75943447513002],[-121.61841474052142,39.75943447513002],[-121.61841474052142,39.75494289870942]]]}"
-27078+8850,1,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.62290631694202,39.750451322288825],[-121.61841474052142,39.750451322288825],[-121.61841474052142,39.75494289870942],[-121.62290631694202,39.75494289870942],[-121.62290631694202,39.750451322288825]]]}"
